"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1501","16","1","4014","Effect of Transcutaneous Electrical Acupoint Stimulation (TEAS)on the Incidence Rate of Systemic Inflammatory Response Syndrome (SIRS) in Patients Undergoing Radical Surgery for Gastric Cancer","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","ClinicalTrials.gov registration or study protocol reports no primary participant results.","ClinicalTrials.gov registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:01.121Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1502","16","2","4020","Transcutaneous electrical acupoint stimulation improves clinical pregnancy rate in embryo transfer","Zhang","2014","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible operative surgery under general anaesthesia.","Non-surgical condition or procedure; no eligible operative surgery under general anaesthesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:01.539Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1503","16","3","4022","Acupuncture with manual and electrical stimulation for labour pain: A longitudinal randomised controlled trial","Vixner","2014","English","no","No","EXCLUDE_NOT_GENERAL_ANAESTHESIA","The procedure was performed without general anaesthesia, outside the eligible population.","The procedure was performed without general anaesthesia, outside the eligible population.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:01.964Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1504","16","4","4025","Rehabilitation of Breast Cancer Treatment Related Lymphedema Using Electro-acupuncture: A Randomized Controlled Trial","Unknown","unclear","English","no","No","EXCLUDE_LATE_REHABILITATION","Acupuncture was used for later rehabilitation or chronic postsurgical symptoms rather than beginning by postoperative hour 24.","Acupuncture was used for later rehabilitation or chronic postsurgical symptoms rather than beginning by postoperative hour 24.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:02.367Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1505","16","5","4028","Electroacupuncture (EA) and moxibustion (MO) attenuate inflammation and prevent the progression of renal disease on already established chronic kidney disease","Paterno","2014","English","no","No","EXCLUDE_ANIMAL","Animal experiment; not an adult human perioperative surgical trial.","Animal experiment; not an adult human perioperative surgical trial.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:02.970Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1506","16","6","4029","Acupuncture for the Treatment of Phantom Limb Syndrome: A Randomised Controlled Trial (Feasibility Study)","Unknown","unclear","English","no","No","EXCLUDE_LATE_REHABILITATION","Acupuncture was used for later rehabilitation or chronic postsurgical symptoms rather than beginning by postoperative hour 24.","Acupuncture was used for later rehabilitation or chronic postsurgical symptoms rather than beginning by postoperative hour 24.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:03.377Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1507","16","7","4030","Acupuncture-assisted-anesthesia to Improve Complications After Digestive Surgery in Elderly Patients:Multi-center Double-blinded Randomized Controlled Trial","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","ClinicalTrials.gov registration or study protocol reports no primary participant results.","ClinicalTrials.gov registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:03.957Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1508","16","8","4031","Osteoarthritis year in review: Rehabilitation and outcomes","Maly","2014","English","no","No","EXCLUDE_SECONDARY_RESEARCH","Secondary or aggregate publication rather than a primary randomized participant report.","Secondary or aggregate publication rather than a primary randomized participant report.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:04.558Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1509","16","9","4032","Transcutaneous Electrical Acupoint P6 Stimulation vs. Tropisetron Both in Combination With Dexamethasone to Prevent Postoperation Nausea and Vomiting in Women","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","ClinicalTrials.gov registration or study protocol reports no primary participant results.","ClinicalTrials.gov registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:05.141Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1510","16","10","4034","[Effect of electric acupuncture on the expression of NgR in the cerebral cortex, the medulla oblongata, and the spinal cord of hypertensive rats after cerebral infarction]","Tan","2014","English","no","No","EXCLUDE_ANIMAL","Animal experiment; not an adult human perioperative surgical trial.","Animal experiment; not an adult human perioperative surgical trial.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:30:05.544Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
