"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"6","635","7","637","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"10","640","11","642","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"13","644","14","646","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"23","655","24","657","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"24","657","25","659","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"32","666","33","668","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"39","674","40","676","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"43","679","44","681","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"50","687","51","689","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"68","706","69","708","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"93","732","94","734","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"120","760","121","762","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"139","780","140","782","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"193","835","194","837","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"223","866","224","868","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"254","898","255","900","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"263","908","264","912","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"265","913","266","915","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"276","925","277","927","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"278","928","279","930","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"279","930","280","932","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"282","934","283","936","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"294","947","295","949","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"303","957","304","959","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"305","960","306","962","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"306","962","307","964","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"313","970","314","972","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
