"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1","1","1","630","Effectiveness of P6 acupoint electrical stimulation in preventing postoperativenausea and vomiting following laparoscopic surgery.","Yeoh","2016","English","yes","YES","INCLUDE_ELIGIBLE","Eighty laparoscopic surgery patients were randomized to active P6 electrical acustimulation or sham at the end of surgery, with 24-hour PONV outcomes.","Eligible randomized postoperative TEAS trial.","high","primary_results","yes","9","0","","highly evident for laparoscopic surgery","yes","surface electrical stimulation at P6","inactive sham electrodes","yes","yes","yes","placed at the end of surgery for 24 hours","yes; PONV","no","no","yes","2026-07-27T09:20:25.122Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2","1","2","631","[Effect of Transcutaneous Acupoint Electrical Stimulation on Propofol Usage in Closed-loop Anes- thesia Delivery System in Pediatric Cardiac Surgery].","Jin","2016","English","yes","NO","EXCLUDE_POPULATION","Abstract states that all participants were children undergoing tonsillectomy/adenoidectomy.","Paediatric-only population.","high","primary_results","yes","7","0","","yes; intubation and propofol anesthesia","yes","TEAS","no TEAS","yes","yes","yes","intraoperative","yes","no","no","yes","2026-07-27T09:20:26.307Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"3","1","3","632","Perioperative Transcutaneous Electrical Acupoint Stimulation for Postoperative Pain Relief Following Laparoscopic Surgery: A Randomized Controlled Trial.","Sun","2017","English","yes","YES","INCLUDE_ELIGIBLE","Three hundred eighty laparoscopic surgery patients under explicit general anesthesia were randomized to sham or perioperative TEAS schedules, with pain and analgesic outcomes.","Eligible randomized perioperative TEAS trial.","high","primary_results","yes","9","0","","yes; explicit","yes","TEAS","sham TEAS","yes","yes","yes","preoperative with intraoperative or postoperative sessions","yes; pain and analgesic use","no","no","yes","2026-07-27T09:20:27.441Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"4","1","4","633","[Effects of electroacupuncture on the activities of gliocytes of cervical spinal cord in rats with thyroid incisional pain].","Yang","2016","English","yes","NO","EXCLUDE_ANIMAL","Abstract describes Wistar male rats with an experimental thyroid-incision pain model.","Animal study.","high","animal_study","yes","1","0","","not_applicable","yes; rats","EA","animal model groups","not_applicable","not_applicable","not_applicable","not_applicable","no human outcome","no","no","yes","2026-07-27T09:20:28.690Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"5","1","5","634","[Effect of Transcutaneous Electrical Acupoint Stimulation on Post-surgical Gastrointestinal Function, Autonomic Nerve Activities and Plasma Brain-gut Peptide Levels in Patients Undergoing Gastrointestinal Surgery].","Li","2016","English","yes","YES","INCLUDE_ELIGIBLE","Fifty-eight gastrointestinal surgery patients were randomized to TEAS or sham from 30 minutes preoperatively through surgery, with gastrointestinal recovery outcomes.","Eligible randomized perioperative TEAS trial.","high","primary_results","yes","9","0","","highly evident for elective gastrointestinal surgery","yes","TEAS","sham TEAS","yes","yes","yes","30 minutes preoperative through surgery","yes; bowel recovery","no","no","yes","2026-07-27T09:20:29.797Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"6","1","6","635","[Effect of electroacupuncture for immune function of patients treated with laparoscopic radical rectectomy for rectal cancer].","Pei","2016","English","yes","NO","EXCLUDE_NO_ELIGIBLE_OUTCOME","Randomized perioperative EA under general anesthesia was reported, but outcomes were limited to cytokines, procalcitonin, and leukocyte measures.","Surrogate laboratory outcomes only.","high","primary_results","yes","8","0","","yes; explicit","yes","EA","sham acupuncture without stimulation","yes","yes","yes","15 minutes before induction through surgery","no; biomarkers only","no","no","yes","2026-07-27T09:20:48.535Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"7","1","7","637","Electroacupuncture and splinting versus splinting alone to treat carpal tunnel syndrome: a randomized controlled trial.","Chung","2016","English","yes","NO","EXCLUDE_NON_SURGICAL","Abstract describes conservative treatment of primary carpal tunnel syndrome with no operative surgery.","Non-surgical condition.","high","primary_results","yes","4","0","","no","yes","EA plus splinting","splinting","yes","yes","no","17-week conservative treatment","yes","no","no","yes","2026-07-27T09:20:51.880Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"8","1","8","638","[Analgesic and Sedative Effect of Acupuncture Combined with Medicine on Patients Undergiong Cardiac Surgery].","Yu","2016","English","yes","MAYBE","UNCERTAIN_TIMING","Cardiac surgery patients were randomized to EA plus dexmedetomidine or dexmedetomidine alone with clinical recovery outcomes, but the first EA session time is not stated.","Eligible otherwise; EA timing unclear.","high","primary_results","yes","8","1","timing","highly evident for cardiac surgery","yes","EA plus dexmedetomidine","dexmedetomidine","yes","yes","uncertain","first EA time not reported; initiation within 24 hours plausible","yes","no","no","yes","2026-07-27T09:20:52.973Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"9","1","9","639","Transcutaneous acupoint electrical stimulation pain management after surgical abortion: A cohort study.","Feng","2016","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Abstract explicitly identifies a cohort study in which patients were divided into treatment cohorts rather than randomized.","Nonrandomized cohort study.","high","primary_results","yes","5","0","","intravenous anesthesia; GA not established","no","TEAS","no TEAS","unclear","yes","yes","pre- and/or postoperative","yes","no","no","yes","2026-07-27T09:20:54.190Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"10","1","10","640","[Effect of Electroacupuncture Intervention on Expression of Pain Sensory and Affective Proce- ssing-related µ-opioid Receptor, etc. in the Amygdala in Chronic Neuropathy Pain Rats].","Yan","2016","English","yes","NO","EXCLUDE_ANIMAL","Abstract describes male Wistar rats with sciatic-nerve ligation neuropathic pain.","Animal study.","high","animal_study","yes","1","0","","not_applicable","yes; rats","EA","animal groups","not_applicable","not_applicable","not_applicable","not_applicable","no human outcome","no","no","yes","2026-07-27T09:20:57.537Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"11","1","11","642","Effects of Electroacupuncture on Pro-/Anti-inflammatory Adipokines in Serum and Adipose Tissue in Lean and Diet-induced Obese Rats.","Liaw","2015","English","yes","NO","EXCLUDE_ANIMAL","Abstract describes lean and obese rats receiving EA.","Animal study.","high","animal_study","yes","1","0","","not_applicable","animal groups","EA","animal controls","not_applicable","not_applicable","not_applicable","not_applicable","no human outcome","no","no","yes","2026-07-27T09:21:18.839Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"12","1","12","643","Electroacupuncture Reduces Postoperative Pain and Analgesic Consumption in Patients Undergoing Thoracic Surgery: A Randomized Study.","Chen","2016","English","yes","MAYBE","UNCERTAIN_TIMING","Thoracic surgery patients were randomized to EA or sham with postoperative pain and analgesic outcomes, but the first of six postoperative sessions is not stated.","Eligible otherwise; first EA session timing unclear.","high","primary_results","yes","8","1","timing","highly evident for thoracic surgery","yes","EA","sham EA","yes","yes","uncertain","six sessions over three postoperative days; first time unstated","yes","no","no","yes","2026-07-27T09:21:20.032Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"13","1","13","644","[Clinical observation on controlling antihypertension with the general anesthesia of TEAS and anesthetics in endoscopic endonasal surgery].","Zhao","2015","English","yes","YES","INCLUDE_ELIGIBLE","Sixty endoscopic endonasal surgery patients under explicit general anesthesia were randomized to TEAS or sham beginning 30 minutes before induction through surgery, with recovery and pain outcomes.","Eligible randomized perioperative TEAS trial.","high","primary_results","yes","9","0","","yes; explicit","yes","TEAS","sham TEAS","yes","yes","yes","30 minutes before induction through surgery","yes; recovery and pain","no","no","yes","2026-07-27T09:21:23.362Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"14","1","14","646","Electroacupuncture alters pain-related behaviors and expression of spinal prostaglandin E2 in a rat model of neuropathic pain.","Jiang","2016","English","yes","NO","EXCLUDE_ANIMAL","Abstract explicitly describes a rat neuropathic-pain model.","Animal study.","high","animal_study","yes","1","0","","not_applicable","yes; rats","EA","animal groups","not_applicable","not_applicable","not_applicable","not_applicable","no human outcome","no","no","yes","2026-07-27T09:21:24.445Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"15","1","15","647","[Electroacupuncture Intervention Combined with Anesthetics for Analgesia and Post-surgical Gastrointestinal Recovery in Pneumectomy Patients].","Chen","2015","English","yes","YES","INCLUDE_ELIGIBLE","Pneumectomy patients were randomized to EA or needle-sham control, with EA every 12 hours during the first two postoperative days and pain/gastrointestinal outcomes.","Eligible randomized early-postoperative EA trial.","high","primary_results","yes","9","0","","highly evident for pneumectomy","yes","EA","needles adhered without stimulation","yes","yes","yes","every 12 hours during first two postoperative days","yes","no","no","yes","2026-07-27T09:21:26.327Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"16","1","16","648","[Impacts of transcutaneous acupoint electric stimulation on the postoperative nausea and vomiting and plasma 5-HT concentration after cesarean section].","Liu","2015","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Cesarean section was performed under explicit combined lumbar epidural anesthesia.","No general anesthesia.","high","primary_results","yes","7","0","","no; lumbar epidural combined anesthesia","yes","TEAS","non-acupoint stimulation and blank control","yes","yes","yes","30 minutes before through 1 hour after surgery","yes; PONV","no","no","yes","2026-07-27T09:22:07.280Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"17","1","17","649","[Biomimetic electrical stimulation along the meridian for 50 cases of hypomenorrhea after abortion].","Huang","2015","English","no","NO","EXCLUDE_MISSING_ABSTRACT","No abstract is available and the title describes treatment of hypomenorrhea after abortion without establishing randomized operative care under general anesthesia.","Missing abstract with multiple unsupported criteria.","high","other","yes","2","0","","not_applicable","unclear","biomimetic meridian electrical stimulation","unclear","not_applicable","not_applicable","no","later treatment after abortion","yes","no","no","yes","2026-07-27T09:22:10.609Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"18","1","18","650","[Protection of Electro-acupuncture for Gastric Mucosa of Patients Undergoing Endoscopic Sinus Surgery].","Chen","2015","English","yes","NO","EXCLUDE_NO_ELIGIBLE_OUTCOME","Randomized EA under general anesthesia reported only gastric mucosal oxygenation, hemodynamic, and inflammatory laboratory measures.","Surrogate physiological outcomes only.","high","primary_results","yes","8","0","","yes; explicit","yes","EA","general anesthesia alone","yes","yes","yes","intraoperative","no; surrogate measures only","no","no","yes","2026-07-27T09:22:11.712Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"19","1","19","651","Effects of electroacupuncture combined with clean intermittent catheterization on urinary retention after spinal cord injury: a single blind randomized controlled clinical trial.","Gu","2015","English","yes","NO","EXCLUDE_NON_SURGICAL","The study treated spinal-cord-injury urinary retention over months and did not describe an acute operative surgical population.","Non-surgical rehabilitation treatment.","high","primary_results","yes","5","0","","no","yes","EA plus catheterization","catheterization or sham acupuncture","yes","yes","no","later SCI rehabilitation","yes","no","no","yes","2026-07-27T09:22:15.029Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"20","1","20","652","Study of Evodia hot compress plus electro-acupuncture in patients who have undergone abdominal surgery.","Chen","2015","English","yes","NO","EXCLUDE_INSEPARABLE_INTERVENTION","The only EA arm combined EA with Evodia hot compress, so the independent EA effect cannot be estimated.","EA inseparable from Evodia hot compress.","high","primary_results","yes","6","0","","highly plausible for abdominal surgery","yes","EA plus Evodia hot compress","control or hot-compress regimens","no; co-intervention differs","no","yes","from postoperative day 1","yes","no","no","yes","2026-07-27T09:22:16.075Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"21","1","21","653","Electrical stimulation of the heart 7 acupuncture site for preventing emergence agitation in children: A randomised controlled trial.","Hijikata","2016","English","yes","NO","EXCLUDE_POPULATION","All participants were children aged 18 to 96 months.","Paediatric-only population.","high","primary_results","yes","8","0","","yes; explicit sevoflurane general anesthesia","yes","electrical stimulation at HT7","no stimulation","yes","yes","yes","during surgery","yes","no","no","yes","2026-07-27T09:22:38.116Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
