"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1001","11","1","2187","The effect of perioperative percutaneous acupoint electrical stimulation on postoperative fatigue syndrome and immune function in patients undergoing laparoscopic radical gastrectomy for gastric cancer","ChiCTR2400092117","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:05:56.594Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1002","11","2","2188","The effect of combined use of cyclosporine and electroacupuncture acupoint stimulation on sleep and circulatory function in elderly patients with urological hypertension","ChiCTR2500101636","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:05:57.117Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1003","11","3","2189","Observation on the effect of percutaneous acupoint electrical stimulation on pre insulation in patients undergoing laparoscopic total hysterectomy","ChiCTR2300075864","2023","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:05:57.633Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1004","11","4","2190","Effects of Acupuncture Combined Anesthesia on Cognitive Function in Elderly Patients with MCI Undergoing Lower Extremity Joint Replacement","ChiCTR2600121431","2026","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:05:58.116Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1005","11","5","2191","Effect of electroacupuncture on postoperative hyperalgesia induced by preoperative anxiety","ITMCTR2025001388","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:01.287Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1006","11","6","2192","Effect of Electroacupuncture on Perioperative Anxiety in Patients Undergoing Laparoscopic Cholecystectomy: a Randomized, Assessor-Blinded, Controlled Trial","ITMCTR2026000433","2026","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:01.727Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1007","11","7","2193","Identifying the optimal timing of preoperative electroacupuncture for postoperative nausea and vomiting and pain in patients undergoing laparoscopic gynecologic surgery: study protocol for a randomized controlled trial","Li","2019","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Published study protocol describes future randomization and planned outcomes without participant results.","Published study protocol describes future randomization and planned outcomes without participant results.","high","protocol","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:02.179Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1008","11","8","2195","Effect of preoperative acupoint electroacupuncture stimulation on postoperative recovery of patients undergoing radical colorectal cancer","ChiCTR2200064147","2022","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:02.763Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1009","11","9","2196","Electroacupuncture analgesia in opiate-free anesthesia for intracranial aneurysm interventional surgery: a randomized controlled study","ChiCTR2400081724","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:03.247Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1010","11","10","2197","The effect of postoperative electroacupuncture on POCD in elderly patients and its relationship with peripheral inflammatory factors","ChiCTR2300068250","2023","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:06:03.728Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
