"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"201","3","1","844","[Current overseas researches on prevention and treatment of postoperative nausea and vomiting with acupuncture].","Ma","2010","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","No eligible TEAS or needle-based EA.","Ineligible intervention.","high","primary_results","yes","0","0","","uncertain","uncertain","ineligible","uncertain","uncertain","uncertain","uncertain","unclear","uncertain","no","no","yes","2026-07-27T10:18:35.208Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"202","3","2","845","[Comparative observation on acupoint catgut embedding and electroacupuncture in treatment of hyperplasia of mammary glands].","Lu","2010","English","yes","NO","EXCLUDE_NON_SURGICAL","Non-operative or remote rehabilitation setting.","Non-surgical population.","high","primary_results","yes","0","0","","uncertain","uncertain","EA","uncertain","uncertain","uncertain","uncertain","unclear","uncertain","no","no","yes","2026-07-27T10:18:36.173Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"203","3","3","846","[Effect of combined electroacupuncture and epidural anesthesia in gynecological operation evaluated by bispectral index].","Feng","2010","English","yes","NO","EXCLUDE_TIMING","Two or more essential criteria unsupported: timing, comparator.","Multiple essential criteria unsupported.","high","primary_results","yes","0","0","","yes","yes","EA","uncertain","uncertain","uncertain","uncertain","unclear","yes","no","no","yes","2026-07-27T10:18:39.721Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"204","3","4","847","[Observation on the analgesic effect of transcutaneous electrical acupoint stimulation for breast radical carcinoma operation].","Yu","2010","English","yes","YES","INCLUDE_ELIGIBLE","Randomized TEAS added to balanced general anaesthesia versus general anaesthesia alone for radical breast surgery, with analgesic use, recovery, and postoperative complications recorded.","Eligible randomized perioperative TEAS trial.","high","primary_results","yes","9","0","","yes","yes","TEAS","usual care/no stimulation","yes","yes","yes","preoperative/intraoperative or within 24 hours","yes","no","no","yes","2026-07-27T10:18:40.780Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"205","3","5","848","[Effects of electroacupuncture of ""Shenmen"" (HT 7) and ""Taixi"" (KI 3) on cardiac sympathetic activities in acute myocardial ischemia rabbits].","Wu","2010","English","yes","NO","EXCLUDE_ANIMAL","Animal experiment.","Animal study.","high","animal_study","no","0","0","","uncertain","uncertain","uncertain","uncertain","uncertain","uncertain","uncertain","unclear","uncertain","no","no","yes","2026-07-27T10:18:41.903Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"206","3","6","849","[Clinical observation on electroacupuncture combined with acupoint injection for treatment of early postoperative inflammatory intestinal obstruction].","Shen","2010","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Two or more essential criteria unsupported: general_anaesthesia, randomization, timing, comparator.","Multiple essential criteria unsupported.","high","primary_results","yes","0","0","","uncertain","uncertain","EA","uncertain","uncertain","uncertain","uncertain","unclear","yes","no","no","yes","2026-07-27T10:18:45.448Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"207","3","7","850","[Preventive effect of transcutaneous electro-acupuncture on the intratracheal extubation stress response in general anesthesia of patients with breast cancer undergoing modified radical mastectomy].","Yu","2009","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Two or more essential criteria unsupported: randomization, timing.","Multiple essential criteria unsupported.","high","primary_results","yes","0","0","","yes","uncertain","EA","usual care/no stimulation","yes","yes","uncertain","unclear","yes","no","no","yes","2026-07-27T10:18:48.960Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"208","3","8","851","Electroacupoint stimulation for postoperative nausea and vomiting in patients undergoing supratentorial craniotomy.","Wang","2010","English","yes","YES","INCLUDE_ELIGIBLE","Randomized TEAS at P6 versus non-acupoint control during general anaesthesia for supratentorial craniotomy, with postoperative nausea and vomiting outcomes.","Eligible randomized perioperative TEAS trial.","high","primary_results","yes","9","0","","yes","yes","TEAS","sham","yes","yes","yes","unclear","yes","no","no","yes","2026-07-27T10:18:49.957Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"209","3","9","852","[Clinical observation on the effect of acupuncture-assisted anesthesia for 40 cases of mixed hemorrhoids surgery].","Xu","2009","English","yes","NO","EXCLUDE_NO_GENERAL_ANAESTHESIA","Two or more essential criteria unsupported: general_anaesthesia, timing.","Multiple essential criteria unsupported.","high","primary_results","yes","0","0","","uncertain","yes","EA","usual care/no stimulation","yes","yes","uncertain","unclear","yes","no","no","yes","2026-07-27T10:18:51.036Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"210","3","10","853","Cardioprotective effects of electroacupuncture pretreatment on patients undergoing heart valve replacement surgery: a randomized controlled trial.","Yang","2010","English","yes","NO","EXCLUDE_NO_ELIGIBLE_OUTCOME","Surrogate physiological or laboratory outcomes only.","No eligible clinical outcome.","high","primary_results","yes","0","0","","uncertain","yes","EA","uncertain","uncertain","uncertain","uncertain","unclear","no","no","no","yes","2026-07-27T10:18:54.576Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
