"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"101","2","1","701","Effect of electro-acupuncture stimulation of Ximen (PC4) and Neiguan (PC6) on remifentanil-induced breakthrough pain following thoracal esophagectomy.","Xie","2014","English","yes","Yes","INCLUDE_CLEAR","Sixty patients (ASAIII) scheduled for elective radical esophagectomy were randomized into three groups: group A (control) receiving a general anesthesia only; group B (sham) given EA needles at PC4 (Ximen) and PC6 (Neiguan) but no stimulation; and group C (EAS) electrically given EAS of the ipsilateral PC4 and PC6 throughout the surgery.","Clearly eligible or strongly supported for full-text assessment.","high","primary_results","no","yes","yes","EA","sham/usual-care/control","yes","not_applicable","yes","yes","Blood samples were collected before (T1), 2 h (T2), 24 h (T3), and 48 h (T4) after operation to measure the plasma β-EP, PGE2, and 5-HT.","yes","no","no","no","yes","2026-07-26T12:48:28.082Z","none","DOI:
10.1007/s11596-014-1317-x
•
Ref ID: 25135729"
"102","2","2","702","[Effect of dexmedetomidine and midazolam on respiration and circulation functions in patients undergoing open heart surgery under acupuncture-assisted general anesthesia].","Tang","2014","uncertain","yes","Maybe","UNCERTAIN_RANDOMIZATION","METHODS: Sixty patients undergoing open heart surgery (cardiac valve replacement surgery and aortic valve replacement surgery) were randomly and equally divided into Dexmedetomidine (D) and Midazolam (M) groups.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","yes","yes","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","yes","no","yes","2026-07-26T12:48:28.801Z","none","Ref ID: 25069199"
"103","2","3","703","[Effects of electroacupuncture stimulation at ""Guanyuan"" (CV 4) on serum insulin-like growth factor-1 content and bone biomechanics in ovariectomy-induced osteoporosis rats].","Zhang","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of electroacupuncture stimulation at ""Guanyuan"" (CV 4) on serum insulin-like growth factor-1 content and bone biomechanics in ovariectomy-induced osteoporosis rats]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T12:48:29.507Z","none","Ref ID: 25069197"
"104","2","4","704","[Case-controll study on the synergistic effects of electroacupuncture on knee osteoarthritis after arthroscopic debridement].","Yin","2014","uncertain","yes","No","EXCLUDE_NON_SURGICAL","[Case-controll study on the synergistic effects of electroacupuncture on knee osteoarthritis after arthroscopic debridement]..","Non-operative or non-surgical population.","high","secondary_report","yes","no","yes","EA","sham/usual-care/control","unclear","not_applicable","unclear","unclear","The patients were treated with arthroscopic debridement combined with electroacupuncture after operation.","yes","no","yes","yes","yes","2026-07-26T12:48:30.077Z","none","Ref ID: 25029834"
"105","2","5","705","[Application of transcutaneous electrical acupoint stimulation combined with infusion of propofol in anodynia bronchoscopy].","Qi","2014","uncertain","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","TEAS","unclear or active-only","unclear","not_applicable","unclear","unclear","The postoperative awakening time in group A was earlier than that in group B and group C [(220.3 +/- 110.5) s vs (285.6 +/- 109.4) s, (290.1 +/- 105.1) s, both P < 0.05].","yes","no","yes","no","yes","2026-07-26T12:48:30.965Z","none","Ref ID: 25022125"
"106","2","6","706","Therapeutic effect of electroacupuncture, massage, and blocking therapy on external humeral epicondylitis.","Li","2014","English","yes","No","EXCLUDE_NON_SURGICAL","Therapeutic effect of electroacupuncture, massage, and blocking therapy on external humeral epicondylitis..","Non-operative or non-surgical population.","high","primary_results","yes","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T12:48:31.863Z","none","DOI:
10.1016/s0254-6272(14)60088-1
•
Ref ID: 24992751"
"107","2","7","708","[Effects of assisted-electroacupuncture on recovery of fast tracking anesthesia in mPCNL].","Yan","2014","uncertain","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","[Effects of assisted-electroacupuncture on recovery of fast tracking anesthesia in mPCNL]..","Only an ineligible active comparator is reported.","high","primary_results","yes","yes","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","yes","[Effects of assisted-electroacupuncture on recovery of fast tracking anesthesia in mPCNL]..","yes","no","yes","no","yes","2026-07-26T12:48:32.552Z","none","Ref ID: 24946646"
"108","2","8","709","[The anesthesiologic value of transcutaneous acupoint electrical stimulation combined with general intravenous anesthesia in endoscopic thyroidectomy patients: a clinical study].","Yan","2014","uncertain","yes","Maybe","UNCERTAIN_TIMING","The perioperative study is otherwise eligible, but the first stimulation time cannot be placed confidently at or before 24 postoperative hours.","Eligible timing is the principal unresolved criterion.","moderate","primary_results","yes","yes","yes","TEAS","sham/usual-care/control","unclear","not_applicable","yes","unclear","","yes","no","yes","no","yes","2026-07-26T12:48:33.436Z","none","Ref ID: 24941841"
"109","2","9","710","The effect of transcutaneous electrical acupoint stimulation on pregnancy rates in women undergoing in vitro fertilization: a study protocol for a randomized controlled trial.","Zheng","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a protocol/design report without participant results.","Protocol or registration without results.","high","protocol","no","not_applicable","not_applicable","EA and TEAS","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","TEAS or EA treatments will start once every two or three days from day 3 of menstruation in the ovarian stimulation cycle until the day of ET.","not_applicable","not_applicable","no","no","yes","2026-07-26T12:48:34.143Z","none","DOI:
10.1186/1745-6215-15-162
•
Ref ID: 24886647"
"110","2","10","711","The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial.","Zhang","2014","English","yes","Yes","INCLUDE_CLEAR","The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial..","Clearly eligible or strongly supported for full-text assessment.","high","primary_results","no","yes","yes","EA and TEAS","sham/usual-care/control","yes","not_applicable","yes","yes","The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial..","yes","no","no","no","yes","2026-07-26T12:48:35.026Z","none","DOI:
10.1111/anae.12639
•
Ref ID: 24865978"
"111","2","11","712","[Effects of electroacupuncture preemptive intervention on postoperative pain of mixed hemorrhoids].","Wu","2014","uncertain","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","yes","OBJECTIVE: To evaluate clinical efficacy of electroacupuncture at Changqiang (GV 1) and Chengshan (BL 57) 30 min before surgery on postoperative pain and discomforts in patients with mixed hemorrhoids.","yes","no","yes","no","yes","2026-07-26T12:48:35.898Z","none","Ref ID: 24843974"
"112","2","12","713","[Effects of electroacupuncture on postoperative functional recovery in patients with gynaecological laparoscopic surgery].","Zhang","2014","uncertain","yes","Maybe","UNCERTAIN_INTERVENTION_SEPARABILITY","The abstract does not completely establish the arm structure or balance of background care.","An independently separable eligible comparison may exist but is not established.","moderate","primary_results","yes","yes","yes","EA","unclear or active-only","unclear","not_applicable","unclear","yes","The group A were treated with regular general anesthesia, and on the basis of general anesthesia, the group B were treated with electroacupuncture at bilateral Zusanli (ST 36) and Liangqiu (ST 34) by continuous wave and a frequency of 2 Hz 30 minutes before the surgery until the end of the operation.","yes","no","yes","no","yes","2026-07-26T12:48:36.783Z","none","Ref ID: 24843973"
"113","2","13","714","[Effect of electroacupuncture of ""Mingmen"" (GV 4) on bone morphogenetic protein-2 expression in osteoporosis rats].","Huang","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effect of electroacupuncture of ""Mingmen"" (GV 4) on bone morphogenetic protein-2 expression in osteoporosis rats]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T12:48:37.477Z","none","Ref ID: 24818497"
"114","2","14","715","[Effect of electroacupuncture stimulation of ""Ganshu"" (BL 18) on locomotor, gastric mucosal and hypothalamic SP immunoactivity and hippocampal 5-HT content in rats with depression and gastric ulcer].","Deng","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effect of electroacupuncture stimulation of ""Ganshu"" (BL 18) on locomotor, gastric mucosal and hypothalamic SP immunoactivity and hippocampal 5-HT content in rats with depression and gastric ulcer]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T12:48:38.349Z","none","Ref ID: 24818496"
"115","2","15","716","[Efficacy on analgesia with electric stimulation of long-term retaining needle after laparoscopic cholecystectomy].","Yu","2014","uncertain","yes","Yes","INCLUDE_CLEAR","METHODS: Under static absorptive composite general anesthesia, 90 cases of LC were randomized into three groups, 30 cases in each one.","Clearly eligible or strongly supported for full-text assessment.","high","primary_results","yes","yes","yes","EA","sham/usual-care/control","yes","not_applicable","yes","yes","Separately, in 8 h and 24 h after surgery, the electric acupuncture stimulation with disperse-dense wave, 2 Hz/100 Hz frequency was applied continuously for 30 min.","yes","no","yes","no","yes","2026-07-26T12:48:39.056Z","none","Ref ID: 24796057"
"116","2","16","717","Electroacupuncture reduces hyperalgesia after injections of acidic saline in rats.","Maciel","2014","English","yes","No","EXCLUDE_ANIMAL","Electroacupuncture reduces hyperalgesia after injections of acidic saline in rats..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","yes","yes","2026-07-26T12:48:39.920Z","none","DOI:
10.1155/2014/485043
•
Ref ID: 24772181"
"117","2","17","718","Electroacupuncture at ST36 accelerates the recovery of gastrointestinal motility after colorectal surgery: a randomised controlled trial.","Zhang","2014","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T12:48:40.930Z","none","DOI:
10.1136/acupmed-2013-010490
•
Ref ID: 24739815"
"118","2","18","719","[Electroacupuncture intervention combined with general anesthesia for craniocerebral operations].","Zhang","2014","uncertain","yes","Maybe","UNCERTAIN_RANDOMIZATION","They were equally divided into general anesthesia (GA) group and EA + GA group.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","yes","yes","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","yes","no","yes","2026-07-26T12:48:41.817Z","none","Ref ID: 24684105"
"119","2","19","720","[Effects of transcutaneous electrical acupoint stimulation combined with general anesthesia on cerebral oxygen metabolism in elderly hip replacement patients during controlled hypotension].","Yuan","2014","uncertain","yes","Maybe","UNCERTAIN_TIMING","The perioperative study is otherwise eligible, but the first stimulation time cannot be placed confidently at or before 24 postoperative hours.","Eligible timing is the principal unresolved criterion.","moderate","primary_results","yes","yes","yes","TEAS","sham/usual-care/control","unclear","not_applicable","yes","unclear","","yes","no","yes","no","yes","2026-07-26T12:48:42.519Z","none","Ref ID: 24684104"
"120","2","20","721","[Electroacupuncture intervention combined with general anesthesia for 80 cases of heart valve replacement surgery under cardiopulmonary bypass].","Chi","2014","uncertain","yes","Maybe","UNCERTAIN_INTERVENTION_SEPARABILITY","The abstract does not completely establish the arm structure or balance of background care.","An independently separable eligible comparison may exist but is not established.","moderate","primary_results","yes","yes","yes","EA","unclear or active-only","unclear","not_applicable","unclear","yes","EA (3-4 Hz, 2.0-2.2 mA) was applied to bilateral Zhongfu (LU 1), Chize (LU 5) and Ximen (PC 4) beginning about 20 mm before the surgery in the EA + GA group.","yes","no","yes","no","yes","2026-07-26T12:48:43.224Z","none","Ref ID: 24684103"
"121","2","21","722","Effect of electroacupuncture at Zusanli (ST36) and Sanyinjiao (SP6) acupoints on adrenocortical function in etomidate anesthesia patients.","Yu","2014","English","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","RESULTS: Cortisol concentrations were significantly higher at all times except T0 in group ETO+EA compared with group ETO.","Only an ineligible active comparator is reported.","high","primary_results","yes","yes","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","yes","Effect of electroacupuncture at Zusanli (ST36) and Sanyinjiao (SP6) acupoints on adrenocortical function in etomidate anesthesia patients..","yes","no","no","no","yes","2026-07-26T12:48:43.892Z","none","DOI:
10.12659/MSM.890111
•
Ref ID: 24621826"
"122","2","22","723","[Impacts of the different frequencies of electroacupunctrue on cognitive function in patients after abdominal operation under compound anesthesia of acupuncture and drugs].","Lin","2013","uncertain","yes","Maybe","UNCERTAIN_TIMING","The perioperative study is otherwise eligible, but the first stimulation time cannot be placed confidently at or before 24 postoperative hours.","Eligible timing is the principal unresolved criterion.","moderate","primary_results","yes","yes","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","yes","no","yes","2026-07-26T12:48:44.575Z","none","Ref ID: 24617242"
