"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1","1","1","474","Acupuncture attenuates postoperative inflammation in patients after craniotomy: A prospective, open-label, controlled trial.","Yang","2020","English","yes","No","EXCLUDE_INSEPARABLE_INTERVENTION","Acupuncture treatments included acupuncture, electroacupuncture, and intradermal acupuncture.","Eligible electrical acupuncture is embedded in an inseparable multimodal intervention.","high","primary_results","yes","unclear","unclear","EA","sham/usual-care/control","unclear","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T12:15:47.174Z","none","DOI:
10.1097/MD.0000000000019071
•
Ref ID: 32176032"
"2","1","2","475","[Electroacupuncture of both single- and multi-acupoints promotes recovery of gastrointestinal function in laparoscopic cholecystectomy patients].","Qu","2020","uncertain","yes","Maybe","UNCERTAIN_TIMING","The patients in the control group only received routine basic treatments (postoperative fasting and water deprivation, intravenous drip of biotics, water-electrolyte and acid-base balancing, oxygen uptake, etc).","Eligible timing is the principal unresolved criterion.","moderate","primary_results","yes","yes","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","The patients in the control group only received routine basic treatments (postoperative fasting and water deprivation, intravenous drip of biotics, water-electrolyte and acid-base balancing, oxygen uptake, etc).","yes","no","yes","no","yes","2026-07-26T12:19:19.927Z","none","DOI:
10.13702/j.1000-0607.1904016
•
Ref ID: 32144924"
"3","1","3","476","[Effect of low-frequency electrical acupoint stimulation on gastrointestinal motility function following radical gastrectomy in patients with gastric cancer].","He","2020","uncertain","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","TEAS","unclear or active-only","unclear","not_applicable","unclear","yes","FTS group was given fast track surgery treatment, such as preoperative education, preoperative nutritional support, early oral feeding, early removal of abdominal drainage tube, etc.","yes","no","yes","no","yes","2026-07-26T12:20:00.159Z","none","DOI:
10.13702/j.1000-0607.1901256
•
Ref ID: 32144909"
"4","1","4","478","[Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction].","Ding","2020","uncertain","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","","yes","no","yes","no","yes","2026-07-26T12:20:32.574Z","none","DOI:
10.13703/j.0255-2930.20190213-00014
•
Ref ID: 32100498"
"5","1","5","479","Acupuncture-like Transcutaneous Electrical Nerve Stimulation for Pain, Function, and Biochemical Inflammation After Total Knee Arthroplasty.","Kim","2021","English","yes","No","EXCLUDE_INELIGIBLE_ACTIVE_COMPARATOR","OBJECTIVES: The study intended to determine (1) the efficacy of conventional TENS and AL-TENS for TKA patients and (2) which outcomes-pain at rest, movement-evoked pain, and physical function-were most likely to be affected by conventional TENS compared with AL-TENS for people with pain, to inform the design of future studies.","Only an ineligible active comparator is reported.","high","primary_results","yes","unclear","yes","TEAS","unclear or active-only","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T12:20:40.073Z","none","Ref ID: 32088676"
"6","1","6","480","Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and postoperative analgesia in minimally invasive lung cancer surgery: A randomized, double-blind, placebo-controlled trial.","Chen","2020","English","yes","Yes","INCLUDE_CLEAR","Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia for sedation and postoperative analgesia in minimally invasive lung cancer surgery: A randomized, double-blind, placebo-controlled trial..","Clearly eligible or strongly supported for full-text assessment.","high","primary_results","yes","yes","yes","TEAS","sham/usual-care/control","yes","not_applicable","yes","yes","RESULTS: Patients in the TEAS group had significantly lower VAS scores at six, 24, and 48 hours after surgery (P < 0.01); lower BIS scores at 10, 20, and 30 minutes before induction (P < 0.01); lower levels of postoperative sufentanil consumption; lower number of PCIA attempts and effective rates (P < 0.01); lower incidences of nausea at 0, six, 24, and 48 hours; and lower incidence of vomiting at 24 hours after surgery (P < 0.05).","yes","no","no","no","yes","2026-07-26T12:20:40.801Z","none","DOI:
10.1111/1759-7714.13343
•
Ref ID: 32062864"
"7","1","7","481","Electroacupuncture for postoperative pain after nasal endoscopic surgery: study protocol for a pilot randomized controlled trial.","Li","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","Electroacupuncture for postoperative pain after nasal endoscopic surgery: study protocol for a pilot randomized controlled trial..","not_applicable","not_applicable","no","no","yes","2026-07-26T12:20:41.703Z","none","DOI:
10.1186/s13063-020-4064-2
•
Ref ID: 32046764"
"8","1","8","482","Effect of electroacupuncture on sedation requirements during colonoscopy: a prospective placebo-controlled randomised trial.","Eberl","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T12:20:42.295Z","none","DOI:
10.1136/acupmed-2017-011459
•
Ref ID: 31968988"
"9","1","9","483","The effect of TEAS on the quality of early recovery in patients undergoing gynecological laparoscopic surgery: a prospective, randomized, placebo-controlled trial.","Yu","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","TEAS","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","Quality of recovery was assessed using a 40-item questionnaire as a measure of quality of recovery (QoR-40; maximum score 200) scoring system performed on preoperative day 1 (T0), postoperative day 1 (T1) and postoperative day 2 (T2); 100-mm visual analogue scale (VAS) scores at rest, mini-mental state examination (MMSE) scores, the incidence of nausea and vomiting, postoperative pain medications, and antiemetics were also recorded.","not_applicable","not_applicable","no","no","yes","2026-07-26T12:20:42.691Z","none","DOI:
10.1186/s13063-019-3892-4
•
Ref ID: 31915045"
"10","1","10","484","Effects of perioperative transcutaneous electrical acupoint stimulation on monocytic HLA-DR expression in patients undergoing coronary artery bypass grafting with cardiopulmonary bypass: study protocol for a double-blind randomized controlled trial.","Chen","2019","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA and TEAS","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","BACKGROUND: Cardiac surgery involving cardiopulmonary bypass (CPB) is known to be associated with a transient postoperative immunosuppression.","not_applicable","not_applicable","no","no","yes","2026-07-26T12:20:43.256Z","none","DOI:
10.1186/s13063-019-3889-z
•
Ref ID: 31888744"
