"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"601","7","1","2104","Observation on the curative effect of two different acupuncture techniques: electric acupuncture and floating needle on preventing and treating urinary retention after spinal anesthesia for anorectal diseases","ChiCTR2100049026","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:07.432Z","none","INTERVENTION: Floating Needle Treatment Group:Floating needle;Electroacupuncture treatment group:Electroacupuncture;Conventional treatment group:Hot compress; CONDITION: Postoperative urinary retention PRIMARY OUTCOME: The time from 30 minutes after spinal anesthesia until the urine volume in the bladder reaches urinary retentiontion;Time to urinate for the first time after urinary retention;30 minutes after spinal anesthesia until the urine volume in the bladder reaches the amount of fluid for urinary retention;First voluntary urination volume;Residual urine volume in the bladder after voluntary urination; INCLUSION CRITERIA: 1. Aged 18 to 65 years old; ASA (American Society of Anesthesiologists) grade I‐II patients with anorectal disease who are scheduled to undergo elective spinal anesthesia; ultrasound measurement of urine volume in the bladder reaches (307+/‐33) mL without micturition refle X; 2.Operation time within 2h; no severe cardiopulmonary dysfunction; no contraindications to spinal anesthesia; no urinary tract obstruction or infection before surgery and other factors affecting urination; and those who have signed an informed consent."
"602","7","2","2105","Methylprednisolone Combined Electric-acupuncture on Cognitive Function","NCT02535039","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","not eligible/unclear","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:08.076Z","none","Postoperative cognitive dysfunction (POCD) refers to the patients in the central nervous system complications after general anesthesia and clinical manifestations of mental disorder, anxiety, personality changes, impaired memory, personality, social skills and cognitive function after surgery for this decline is called postoperative cognitive dysfunction.Due to the lack of effective clinical treatments, how to prevent and solve the postoperative cognitive dysfunction has become a difficulty and a focus of research in the field of anesthesia.Methylprednisolone is a new type of cortical hormone, because of its strong anti‐inflammatory effect, less adverse reactions, is widely used in clinical anesthesia.Electric acupuncture as a kind of traditional treatments, after years of clinical application and achieved good curative effect in practice.In this paper by comparing brain oxygen saturation, blood biochemical indexes, Montreal cognitive assessment scale (MOCA) on cognitive function in patients with grade indexes, such as observation of methylprednisolone combined electric acupuncture treatment of elderly patients with general anesthesia early after the operation, the influence of cognitive function. Through comparing the operation of cerebral oxygen saturation, blood biochemical indexes, Montreal cognitive assessment scale (MOCA) on cognitive function in patients with grade indexes, such as observation of methylprednisolone combined electric acupuncture treatment of elderly patients with general anesthesia early after the operation, the influence of cognitive function."
"603","7","3","2106","Transcutaneous electrical nerve stimulation at the PC-5 and PC-6 acupoints reduced the severity of hypotension after spinal anaesthesia in patients undergoing Caesarean section","Arai","2008","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Transcutaneous electrical nerve stimulation at the PC-5 and PC-6 acupoints reduced the severity of hypotension after spinal anaesthesia in patients undergoing Caesarean section.","The procedure was conducted without general anaesthesia.","high","primary_results","yes","no","yes","EA","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T14:56:08.665Z","none","DOI:
10.1093/bja/aem306"
"604","7","4","2107","Effect of electroacupuncture at percutaneous points on postoperative delirium","ChiCTR1900025840","2019","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","Effect of electroacupuncture at percutaneous points on postoperative delirium.","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:09.270Z","none","INTERVENTION: Control group:no intervention;Electroacupuncture group:Electrical acupuncture at baihui, yintang, shuigou and neiguan points for 30 minutes; CONDITION: Postoperative delirium PRIMARY OUTCOME: haemodynamics;Anesthetic dosage; INCLUSION CRITERIA: 1. ASA level i‐iii, aged > 65 years; 2. The operation time is expected to be 1‐2 hours, and the bleeding is no more than 400ml; 3. Patients with general laparoscopic surgery had no cognitive dysfunction or communication disorder."
"605","7","5","2108","Effect of perioperative electroacupuncture intervention on early and long-term cognitive function after hip fracture in elderly patients","ChiCTR2000039266","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:09.869Z","none","INTERVENTION: control group:Nil;pre‐EA group: Electric Acupuncture Pretreatment ;post‐EA group:Electric Acupuncture Posttreatment ;all‐EA group:Whole process treatment of Electric Acupuncture; CONDITION: POCD PRIMARY OUTCOME: biochemical;Blood gas analysis;4/5000 Inflammatory indicators;Vital signs; INCLUSION CRITERIA: 1. Patients with hip fracture: femoral neck fracture, femoral intertrochanteric fracture, acetabular fracture; 2. Patients over 65 years old; 3. Patients with ASA grade I III; 4. The preoperative MMSE score of patients with secondary school score > 24, primary school score > 20 and illiteracy score > 17; 5. The patient signs the informed consent."
"606","7","6","2109","Effects of Electroacupuncture on Remifentanil-Induced Postinfusion Hyperalgesia in patients Undergoing Thyroidectomy: a Double-Blind Randomized Controlled Trial","ChiCTR2100050235","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:14.495Z","none","INTERVENTION: False acusector group:False electric acupuncture;The curative group:Electric acupuncture; CONDITION: Remifentanil‐Induced Postinfusion Hyperalgesia PRIMARY OUTCOME: the mechanical pain threshold around the skin incision 30 minutes after surgery ; INCLUSION CRITERIA: 1. Patients undergoing thyroidectomy; 2. ASA grade of anesthesia patients was I‐II, aged from 18 to 80 years; 3. Patients voluntarily signed informed consent; 4. Patients received acupuncture treatment and had good compliance."
"607","7","7","2110","Clinical randomized controlled trial of electric acupuncture treatment of severe acute pancreatitis paralytic ileus","ChiCTR-TRC-13003165","2013","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:15.090Z","none","INTERVENTION: Acupuncture group:SJ6 and S36 at both sides is punctured perpendicularly 2—3cm then connect ipsilateral SJ6 and S36 with the 6805 ‐ D electric acupuncture apparatus, which produced by santou medical equipment factory. Take 2Hz/15Hz continuous parameters, current strength with acupuncture in patients with muscle tremor and sightly pain. Needls are retained for 30 min,;Sham‐acupuncture control group:Sham point at both sides is punctured perpendicularly 2‐3cm, then exit to skin, connect the sham point ipsilateral with the 6805 ‐ D electric acupuncture apparatus which produced by santou medical equipment factory. Take 2Hz/15Hz continuous parameters current strength with acupuncture in patients with muscle tremor and sightly pain, then quickly return to stop current output. Needls are retained for 30 min. ; CONDITION: severe acute pancreatitis paralytic ileus PRIMARY OUTCOME: The anus exhaust time;For the first time defecation time;First time eating solid food;Transit number surgery patient; SECONDARY OUTCOME: Abdominal pain score;Abdominal distension disappear time;Blood amylase, blood calcium returned to normal time; INCLUSION CRITERIA: 1. Accord with severe acute pancreatitis diagnosis standard(Revision of the standard in 2001 the Chinese Medical Association of pancreatic surgery ""The draft principles of diagnosis and treatment of severe acute pancreatitis""); 2. All the patients anal stop exhaust (or) bowel movement more than 24 h, and accompanied by clear abdominal symptoms,including: obviously tenderness, bounce pain,muscle tension, abdominal distension, bowel sound reduced (< 3 times/min) or disappear (0 time / 3‐5 min); 3. Aged 18‐ 65 years old; 4. informed consent signedVolunteered to participate in the study."
"608","7","8","2111","Different frequency of electric acupuncture alleviate symptoms of menopause baking hot research - multicenter randomized controlled trial","ChiCTR-TRC-14004385","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:15.525Z","none","INTERVENTION: research group:Electric acupuncture;control:acupoints same as research group and once a week ; CONDITION: perimenopausal syndrome PRIMARY OUTCOME: Baking hot integral average 24 hour; INCLUSION CRITERIA: 1. in the past 12 months, irregular menstrual cycle, menstrual period in advance or wrong after 7 days or more (early menopause transition); In the past 12 months, fall off at least two menstrual cycles, or amenorrhoea more than 60 days, but in November or less (late menopause transition) [1, 14]. Menopause in the 12 months to 36 months between, including 12 months and 36 months (3 years) menopause; 2. baking hot symptoms, may be accompanied by other menopause symptoms, such as sweat, insomnia, migraine, dysphoria, vaginal dry, pain during sex, etc.; 3. aged 40 to 55 years old; 4. no mandatory indications of hormone therapy, such as surgery, active menopause osteoporosis; 5. hot flashes or 6 points; 6. voluntarily participate in the study, and sign the informed consent."
"609","7","9","2112","Clinical study on the effect of electroacupuncture on intestinal paralysis after laparoscopic colorectal cancer surgery","ChiCTR2200057160","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The citation is a trial-registration record and does not report participant results.","Protocol or registration without results.","high","trial_registration","no","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T14:56:16.114Z","none","INTERVENTION: The control group:Fake electric acupuncture;The observation group:Electric acupuncture; CONDITION: colorectal cancer PRIMARY OUTCOME: First exhaust time after operation;First defecation time after operation; SECONDARY OUTCOME: Postoperative hospital stay;Numeric rating scale pain score;Postoperative analgesic dose;Incidence of intestinal obstruction within 14 days after operation; INCLUSION CRITERIA: 1. Aged 18 ‐75 years; 2. Laparoscopic colorectal cancer surgery has been completed; 3. First abdominal surgery; 4. American College of Anesthesiologists (ASA) Class I‐III; 5. Willingness to provide written informed consent."
"610","7","10","2114","Influence of epidural morphine and electric acupuncture on the lymphocyte proliferous responses of the patients in postoperative pain","Tan","1997","English","no","Maybe","UNCERTAIN_RANDOMIZATION","Influence of epidural morphine and electric acupuncture on the lymphocyte proliferous responses of the patients in postoperative pain.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","Influence of epidural morphine and electric acupuncture on the lymphocyte proliferous responses of the patients in postoperative pain.","yes","no","no","no","yes","2026-07-26T14:56:16.544Z","none",""
