"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1801","19","1","4714","The Role of Naturopathic Medicine During Active Surveillance in Prostate Cancer.","Sandri","2025","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible perioperative operative study.","Non-surgical condition or procedure; no eligible perioperative operative study.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:12.147Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1802","19","2","4717","Comparison of electronic apex locator and simultaneous working length detection methods with radiological method in terms of postoperative pain.","Guzel","2024","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:12.794Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1803","19","3","4721","Apparently healthy young black adults report lower total fluid intake and exhibit higher plasma copeptin than young White adults.","Stute","2025","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible perioperative operative study.","Non-surgical condition or procedure; no eligible perioperative operative study.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:13.429Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1804","19","4","4728","Inter-Reader Agreement in LR-TRA Application and NLR Association in HCC Patients Treated with Endovascular vs. Ablative Procedures.","Castiglione","2025","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:13.957Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1805","19","5","4737","A CT Based assessment of femoral component external rotation in TKA for osteoarthritic varus knees.","Sood","2020","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:14.574Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1806","19","6","4745","Therapeutic ultrasound associated with essential oils of copaiba and tea tree for healing skin lesions.","GomesAlvesMororó","2020","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:15.188Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1807","19","7","4750","Optimal postoperative pain management after VATS lung resection by thoracic epidural analgesia, continuous paravertebral block or single-shot intercostal nerve block (OPtriAL): study protocol of a three-arm multicentre randomised controlled trial.","Spaans","2022","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:15.675Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1808","19","8","4752","Can ultrasound-guided erector spinae plane block replace thoracic epidural analgesia for postoperative analgesia in pediatric patients undergoing thoracotomy? A prospective randomized controlled trial.","Singh","2022","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:16.168Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1809","19","9","4754","Combination of thoracic epidural analgesia with patient-controlled intravenous analgesia versus traditional thoracic epidural analgesia for postoperative analgesia and early recovery of laparotomy: a prospective single-centre, randomized controlled trial.","Xu","2022","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:16.789Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1810","19","10","4757","Comparing the effects of dexmedetomidine versus propofol on the treatment of emergence agitation in adult patients after general anesthesia: study protocol for a randomized, superiority, controlled trial (DP-TEA Trial).","ZhaoyanFeng","2021","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","No eligible perioperative EA/TEAS intervention; the record concerns another treatment, procedure, or thoracic epidural analgesia.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:17.261Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1811","19","11","4762","Effect of adjunctive use of green tea dentifrice in periodontitis patients - A Randomized Controlled Pilot Study.","Hrishi","2016","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible perioperative operative study.","Non-surgical condition or procedure; no eligible perioperative operative study.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:17.761Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1812","19","12","4770","Effects of ω -3 Fatty Acids and Catechins on Fatty Acid Synthase in the Prostate: A Randomized Controlled Trial.","Zhang","2016","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible perioperative operative study.","Non-surgical condition or procedure; no eligible perioperative operative study.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:38:18.244Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
