"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1201","13","1","2606","Analysis of the rehabilitation effect of electroacupuncture on patients after total knee arthroplasty","ChiCTR2200065401","2022","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:11.873Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1202","13","2","2607","Study of electroacupuncture with different frequencies for the treatment of headache and anxiety-depression symptoms in patients with migraine: a randomized clinical trial","Nie","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","EA or acupuncture treats a non-surgical condition outside operative perioperative care.","EA or acupuncture treats a non-surgical condition outside operative perioperative care.","high","primary_results","yes","0","0","","no","yes","EA/acupuncture","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:12.311Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1203","13","3","2608","Electroacupuncture versus pelvic floor muscle training for urinary incontinence in women. A retrospective analysis","Lomena-Villalobos","2022","English","yes","NO","EXCLUDE_NON_RANDOMIZED","Retrospective analysis of urinary-incontinence treatment is non-randomized and non-surgical.","Retrospective analysis of urinary-incontinence treatment is non-randomized and non-surgical.","high","primary_results","yes","0","0","","no","no","EA/acupuncture","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:12.959Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1204","13","4","2609","Research on exploring visualized “Tongdu Tiaoshen” electroacupuncture for precise treatment of insomnia based on EEG&amp;AI","ChiCTR2300075482","2023","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:13.551Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1205","13","5","2610","A Study is Examining How Postpartum Pain after Cesarean Section (SC) Can be Reduced by Boosting Levels of β-endorphin Through Electroacupuncture Stimulation at The Specified Points LI4 and SP6","Azizah","2024","English","yes","NO","EXCLUDE_MULTIPLE_UNCERTAINTIES","Post-cesarean EA reports pain results, but neither general anesthesia nor initiation within the first 24 postoperative hours is stated.","Post-cesarean EA reports pain results, but neither general anesthesia nor initiation within the first 24 postoperative hours is stated.","high","primary_results","yes","6","2","general_anaesthesia|timing","unclear","yes","EA","control","yes","yes","unclear","not_applicable","yes","no","no","yes","2026-07-28T17:15:13.959Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1206","13","6","2611","Clinical efficacy of ultrasound-guided electroacupuncture stimulation of spinal ganglia in the treatment of acute phase pain of herpes zoster","ChiCTR2400094802","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:14.460Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1207","13","7","2612","Study on the Clinical Efficacy of Electroacupuncture Intervention for Upper Limb Motor Dysfunction in Ischemic Stroke","ITMCTR2025000491","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:15.133Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1208","13","8","2613","The effect of electroacupuncture on brain plasticity of upper limb motor dysfunction after ischemic stroke","ITMCTR2025000492","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:15.548Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1209","13","9","2614","The Construction of fMRI-based Acupuncture Brain Mapping for Depression","ITMCTR2025000266","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:16.160Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1210","13","10","2615","Effect of electroacupuncture on brain function network in patients with chemotherapy-related cognitive impairment of breast cancer","ChiCTR2500101786","2025","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","Registry-style record describes planned interventions or outcomes but provides no primary participant results.","high","trial_registration","no","0","0","","no","unclear","unclear","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:15:59.842Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
