"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1701","18","1","4042","Electroacupuncture for pressure ulcer: A study protocol for a randomized controlled pilot trial","Zhang","2014","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a protocol/design report without participant results.","Protocol or registration without results.","high","protocol","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:56:49.530Z","","DOI: 10.1186/1745-6215-15-7; DOI: 10.1186/1745-6215-15-7"
"1702","18","2","4052","[Effect of electroacupuncture intervention at different time-points of post-modeling on hippocampal monoamine neurotransmitter levels in mice with vascular dementia].","Zhang","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effect of electroacupuncture intervention at different time-points of post-modeling on hippocampal monoamine neurotransmitter levels in mice with vascular dementia]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:50.276Z","",""
"1703","18","3","4053","[Effects of different acupuncture and moxibustion methods on ultrastructure of gastrocnemius in rats].","Gao","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of different acupuncture and moxibustion methods on ultrastructure of gastrocnemius in rats]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:51.477Z","",""
"1704","18","4","4054","[Effects of electroacupuncture at Zusanli (ST 36) on the expressions of small intestinal occludin protein and nuclear factor kappa-B in rats with severe acute pancreatitis].","Xue","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of electroacupuncture at Zusanli (ST 36) on the expressions of small intestinal occludin protein and nuclear factor kappa-B in rats with severe acute pancreatitis]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:52.253Z","",""
"1705","18","5","4058","Electroacupuncture reduces hyperalgesia after injections of acidic saline in rats","Escolano","2014","English","no","No","EXCLUDE_ANIMAL","Electroacupuncture reduces hyperalgesia after injections of acidic saline in rats.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:56:52.989Z","","DOI: 10.1016/S1887-8369(14)70118-8; DOI: 10.1016/S1887-8369(14)70118-8"
"1706","18","6","4060","[Effects of electroacupuncture stimulation of ""Jiaji"" (EX-B 2) on expression of matrix metalloproteinase-13 and tissue inhibitor of metalloproteinase-1 in intervertebral disc tissue in rabbits with lumbar intervertebral disc degeneration].","Zou","2014","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of electroacupuncture stimulation of ""Jiaji"" (EX-B 2) on expression of matrix metalloproteinase-13 and tissue inhibitor of metalloproteinase-1 in intervertebral disc tissue in rabbits with lumbar intervertebral disc degeneration]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:53.720Z","",""
"1707","18","7","4064","Effects of electroacupuncture on bone mineral density, oestradiol level and osteoprotegerin ligand expression in ovariectomised rabbits.","He","2014","English","yes","No","EXCLUDE_ANIMAL","Effects of electroacupuncture on bone mineral density, oestradiol level and osteoprotegerin ligand expression in ovariectomised rabbits..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:56:54.452Z","",""
"1708","18","8","4068","The effects of electroacupuncture treatment on the postoperative cognitive function in aged rats with acute myocardial ischemia-reperfusion","Yuan","2014","English","yes","No","EXCLUDE_ANIMAL","The effects of electroacupuncture treatment on the postoperative cognitive function in aged rats with acute myocardial ischemia-reperfusion.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","The effects of electroacupuncture treatment on the postoperative cognitive function in aged rats with acute myocardial ischemia-reperfusion.","not_applicable","not_applicable","no","no","yes","2026-07-26T15:56:55.166Z","","DOI: 10.1016/j.brainres.2014.10.005; DOI: 10.1016/j.brainres.2014.10.005"
"1709","18","9","4069","Lenalidomide for complex regional pain syndrome type 1: Lack of efficacy in a phase II randomized study","Manning","2014","English","yes","No","EXCLUDE_NON_SURGICAL","Complex regional pain syndrome (CRPS) is a potentially debilitating chronic pain syndrome with a poorly understood but likely neuroimmune/multifactorial pathophysiology associated with axonal injury.","Non-operative or non-surgical population.","high","primary_results","no","unclear","yes","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:56:55.903Z","","DOI: 10.1016/j.jpain.2014.09.013; DOI: 10.1016/j.jpain.2014.09.013"
"1710","18","10","4072","Clinical research on treating fracture of middle and lower 1/3 of tibiofibula by electroacupuncture","Zhou","2014","English","yes","No","EXCLUDE_NON_SURGICAL","Clinical research on treating fracture of middle and lower 1/3 of tibiofibula by electroacupuncture.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T15:56:56.638Z","","DOI: 10.1016/S1003-5257(14)60017-9; DOI: 10.1016/S1003-5257(14)60017-9"
"1711","18","11","4073","Electro-acupuncture at Neiguan pretreatment alters genome-wide gene expressions and protects rat myocardium against ischemia-reperfusion","Huang","2014","English","yes","No","EXCLUDE_ANIMAL","Electro-acupuncture at Neiguan pretreatment alters genome-wide gene expressions and protects rat myocardium against ischemia-reperfusion.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T15:56:57.373Z","","DOI: 10.3390/molecules191016158; DOI: 10.3390/molecules191016158"
"1712","18","12","4078","[Effects of electroacupuncture intervention on neurological function, blood glucose and insulin levels in rats with focal cerebral ischemia].","Lu","2013","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of electroacupuncture intervention on neurological function, blood glucose and insulin levels in rats with focal cerebral ischemia]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:58.338Z","",""
"1713","18","13","4079","[Effects of electroacupuncture stimulation of ""Neiguan"" (PC 6) and ""Shenmen"" (HT7) on contents of 5-hydroxytryptamine in hypothalamic paraventricular nucleus region and serum in hyperlipidemia rats with acute myocardial infarction].","Wu","2013","uncertain","yes","No","EXCLUDE_ANIMAL","[Effects of electroacupuncture stimulation of ""Neiguan"" (PC 6) and ""Shenmen"" (HT7) on contents of 5-hydroxytryptamine in hypothalamic paraventricular nucleus region and serum in hyperlipidemia rats with acute myocardial infarction]..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","yes","no","yes","2026-07-26T15:56:59.351Z","",""
"1714","18","14","4080","Taiwan: Institutional Review Board","#4080","2013","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The citation is classified as narrative review rather than an eligible randomized results report.","Ineligible publication type.","high","narrative_review","no","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","In our 4-year initial clinical experience of 39 postoperative OCC patients treated with HT, we noted the incidences of grade 1 and grade 2, 3 trismus \\[according to the Common Terminology Criteria for Adverse Events v3.0 (CTCAE v3.0) \\] appear inversely trend in time sequence with post-HT treatment (Fig.","not_applicable","not_applicable","no","no","yes","2026-07-26T15:57:00.334Z","",""
"1715","18","15","4081","Acupuncture Augmentation of Lidocaine for the Treatment of Provoked, Localized vulvodynia-a Feasibility and Acceptability Pilot Study","#4081","2013","English","yes","No","EXCLUDE_NON_SURGICAL","Acupuncture Augmentation of Lidocaine for the Treatment of Provoked, Localized vulvodynia-a Feasibility and Acceptability Pilot Study.","Non-operative or non-surgical population.","high","primary_results","no","unclear","yes","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T15:57:01.021Z","",""
