"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"901","10","1","2226","TEAS Enhanced Recovery After Laparoscopic Colon Surgery","NCT02921529","2016","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS versus sham/no-current stimulation for laparoscopic colon surgery but provides no participant results.","high","trial_registration","no","0","0","","yes","yes","yes","sham TEAS","not_applicable","not_applicable","yes","30 minutes before anesthesia and postoperative days 1 to 3.","not_applicable","no","no","yes","2026-07-27T14:30:56.727Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"902","10","2","2227","The Effect of Fennel Tea Drinking on Postoperative Gut Recovery after Gynecological Malignancies Operation","Ma","2015","English","yes","NO","EXCLUDE_OTHER_INTERVENTION","The title and abstract clearly establish an ineligible population, setting, intervention, design, or timing.","Randomized postoperative trial evaluates fennel tea, an herbal intervention, without TEAS or EA.","high","primary_results","yes","0","0","","likely","yes","herbal tea","not_applicable","not_applicable","not_applicable","yes","not_applicable","not_applicable","no","no","yes","2026-07-27T14:31:14.910Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"903","10","3","2228","Effect of TEAS Combined With Oxycodone on Postoperative Visceral Pain in Gynecologic Laparoscopic Patients","NCT06517069","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record concerns TEAS with balanced postoperative analgesia for gynecologic laparoscopy under general anesthesia but provides no participant results.","high","trial_registration","no","0","0","","yes","unclear","yes","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-27T14:31:33.144Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"904","10","4","2229","TEAS Combined With Triple Antiemetic Drugs to Prevent PONV in High-Risk Patients","NCT07480785","2026","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS versus minimal-current sham with balanced antiemetics during laparoscopic surgery under general anesthesia but provides no participant results.","high","trial_registration","no","0","0","","yes","yes","yes","minimal-current sham TEAS","yes","not_applicable","yes","30 minutes before induction through operating-room discharge.","not_applicable","no","no","yes","2026-07-27T14:31:52.847Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"905","10","5","2230","TEAS improves postoperative gastrointestinal dysfunction through brain-gut axis for patients undergoing abdominal surgery","ChiCTR1900023263","2019","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS versus sham for abdominal tumor surgery under general anesthesia but provides no participant results.","high","trial_registration","no","0","0","","yes","unclear","yes","sham-point stimulation","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-27T14:32:09.658Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"906","10","6","2231","Efficacy of TEAS on Postoperative Pain and Recovery in Patients Undergoing Hepatectomy","NCT06341270","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS versus no-current sham before and after hepatectomy but provides no participant results.","high","trial_registration","no","0","0","","yes","yes","yes","sham TEAS","not_applicable","not_applicable","yes","30 minutes before anesthesia through PACU discharge, plus postoperative days 1 to 3.","not_applicable","no","no","yes","2026-07-27T14:32:24.961Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"907","10","7","2232","Evidence based study on acupuncture anesthesia using colonoscopy as a carrier","ChiCTR2400087136","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record has no participant results and concerns sedated colonoscopy, not operative surgery under general anesthesia.","high","trial_registration","no","0","0","","no","unclear","yes","sham EA","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-27T14:32:41.573Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"908","10","8","2233","A Study on the Application Effect of Perioperative Electroacupuncture Therapy in Promoting Rapid Recovery after Spinal Endoscopic Surgery under General Anesthesia","ITMCTR2024000549","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned perioperative EA during spinal endoscopic surgery under general anesthesia but provides no participant results.","high","trial_registration","no","0","0","","yes","unclear","yes","general-anesthesia control","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-27T14:32:58.305Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"909","10","9","2234","Efficacy of TEAS on Postoperative Pain and Recovery in Patients Undergoing Pancreatectomy","NCT06541561","2024","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS versus no-current sham before and after pancreatectomy but provides no participant results.","high","trial_registration","no","0","0","","yes","yes","yes","sham TEAS","not_applicable","not_applicable","yes","30 minutes before induction and postoperative days 1 to 3.","not_applicable","no","no","yes","2026-07-27T14:33:16.413Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"910","10","10","2235","Acupoint stimulation of ST36 and PC6 on postoperative and vomiting in patients undergoing gynecological laparoscopic surgery: a randomized, double-blind, controlled, prospective study","ChiCTR2200065827","2022","English","yes","NO","EXCLUDE_TRIAL_REGISTRATION","Registry-style record provides planned intervention or outcomes but no participant results.","Trial-registry record describes planned TEAS timing regimens during gynecologic laparoscopy under general anesthesia but provides no participant results.","high","trial_registration","no","0","0","","yes","yes","yes","minimal-current control","not_applicable","not_applicable","yes","Before induction, intraoperatively in one arm, and postoperative day 1.","not_applicable","no","no","yes","2026-07-27T14:33:34.726Z","chrome_extension_cua","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
