"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1901","20","1","4488","Use of Acupuncture In Autistic Spectrum Disorder","#4488","2006","English","yes","No","EXCLUDE_POPULATION","Brief SummaryAutism is a behaviorally defined, lifelong disorder of the brain, affecting at least 1-2 per 1000 children.","Paediatric-only population.","high","primary_results","no","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T16:03:46.435Z","",""
"1902","20","2","4490","Effect of electroacupuncture on expression of nestin protein after focal ischemia/reperfusion in rats","Zhao","2006","English","yes","No","EXCLUDE_ANIMAL","Effect of electroacupuncture on expression of nestin protein after focal ischemia/reperfusion in rats.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:03:47.512Z","",""
"1903","20","3","4492","Management of dysmenorrhoea","Johnson","2006","English","yes","No","EXCLUDE_NON_ACUPOINT_TENS","Randomised trials have confirmed the effectiveness of a wide and varied array of treatments: conservative approaches including aerobic exercise, topical heat, relaxation therapy, high frequency transcutaneous electrical nerve stimulation (TENS) and timely diagnostic ultrasound; drug treatments including paracetamol and non-steroidal anti-inflammatory drugs, hormonal drug treatments for endometriosis, progestogen drug treatment for unexplained chronic pelvic pain; alternative and newer drug treatments including Vitamin B1, Vitamin E, magnesium, fish oil, toki-shakuyaku-san; surgical treatments ","Ordinary TENS without acupuncture-point placement.","high","primary_results","no","unclear","yes","ordinary TENS","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:03:48.279Z","","DOI: 10.1016/j.rigp.2005.09.008; DOI: 10.1016/j.rigp.2005.09.008"
"1904","20","4","4494","Effects of electroacupuncture at ""Zusanli"" (ST 36) on ERK1/2 phosphorylation in the dorsal horn of spinal cord of the rat","Song","2006","English","yes","No","EXCLUDE_ANIMAL","Effects of electroacupuncture at ""Zusanli"" (ST 36) on ERK1/2 phosphorylation in the dorsal horn of spinal cord of the rat.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:03:49.331Z","",""
"1905","20","5","4495","Comparison of recuperative effects of musicotherapy and low-frequency electro-acupuncture on fatigue induced by acute aerobic exercise","Li","2006","English","yes","No","EXCLUDE_NON_SURGICAL","Comparison of recuperative effects of musicotherapy and low-frequency electro-acupuncture on fatigue induced by acute aerobic exercise.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:03:51.086Z","",""
"1906","20","6","4497","Observation on therapeutic effect of blood-letting puncture combined with electroacupuncture on muscular pulling injury","He","2006","English","yes","No","EXCLUDE_NON_SURGICAL","Observation on therapeutic effect of blood-letting puncture combined with electroacupuncture on muscular pulling injury.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","yes","EA","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T16:03:52.407Z","",""
"1907","20","7","4501","Outcomes and Cost Assessment of Acupuncture in the Treatment (OCAT) of Pain Patients at Malcolm Grow USAF Medical Center","#4501","2006","English","yes","No","EXCLUDE_NON_SURGICAL","Brief SummaryThe purpose of this project is to conduct a scientifically rigorous investigation of the clinical outcomes, quality of life, and cost associated with the delivery of acupuncture in the treatment of acute and chronic pain in patients at Malcolm Grow Medical Center, Andrews Air Force Base.","Non-operative or non-surgical population.","high","secondary_report","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","yes","yes","2026-07-26T16:03:53.451Z","",""
"1908","20","8","4505","Clinical observation on analgesic effect of electroacupuncture at Neimadian after operation of extremities","Chang","2005","English","yes","Maybe","UNCERTAIN_RANDOMIZATION","OBJECTIVE: To observe effectiveness and safety of electroacupuncture at Neimadian for analgesia in the extremities after orthopedic operation.METHODS: Two hundred cases enrolled were divided into two groups.","Random allocation is the principal unresolved eligibility criterion.","moderate","primary_results","yes","unclear","unclear","EA","sham/usual-care/control","unclear","not_applicable","yes","unclear","Clinical observation on analgesic effect of electroacupuncture at Neimadian after operation of extremities.","yes","no","no","no","yes","2026-07-26T16:03:54.210Z","",""
"1909","20","9","4509","Therapeutic methods for knee osteoarthritis: Randomized controlled trial and systemic evaluation","Kang","2005","English","yes","No","EXCLUDE_NON_SURGICAL","Therapeutic methods for knee osteoarthritis: Randomized controlled trial and systemic evaluation.","Non-operative or non-surgical population.","high","primary_results","yes","no","yes","ordinary TENS","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:03:55.233Z","",""
"1910","20","10","4514","Effect of electroacupuncture at ""Neiguan"" (PC 6) on expression of c-fos gene in myocardium of the rat with acute myocardial ischemia","Xie","2005","English","yes","No","EXCLUDE_ANIMAL","Effect of electroacupuncture at ""Neiguan"" (PC 6) on expression of c-fos gene in myocardium of the rat with acute myocardial ischemia.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:03:55.962Z","",""
"1911","20","11","4515","Comparative study between botulin toxin and bupivacaine for triggering-points infiltration in chronic myofascial syndrome","Keiichi Unno","2005","English","yes","No","EXCLUDE_NON_SURGICAL","Comparative study between botulin toxin and bupivacaine for triggering-points infiltration in chronic myofascial syndrome.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","unclear","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:03:56.690Z","",""
"1912","20","12","4516","Protective effect of low-level laser irradiation on acupuncture points combined with iontophoresis against focal cerebral ischemia-reperfusion injury in rats","Dai","2005","English","yes","No","EXCLUDE_ANIMAL","Protective effect of low-level laser irradiation on acupuncture points combined with iontophoresis against focal cerebral ischemia-reperfusion injury in rats.","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:03:57.413Z","","DOI: 10.3736/jcim20050213; DOI: 10.3736/jcim20050213"
"1913","20","13","4523","Protocol for a randomised controlled trial of a decision aid for the management of pain in labour and childbirth [ISRCTN52287533]","Roberts","2004","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a protocol/design report without participant results.","Protocol or registration without results.","high","protocol","no","not_applicable","not_applicable","not eligible/unclear","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:03:58.398Z","","DOI: 10.1186/1471-2393-4-24; DOI: 10.1186/1471-2393-4-24"
"1914","20","14","4529","Benefits and effectiveness of recording somatosensory evoked potentials in surgery on the carotid artery","Überrück","2004","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","Alternative procedures are the routine use of a shunt and operation under regional anaesthesia.","The procedure was conducted without general anaesthesia.","high","primary_results","yes","no","yes","TEAS","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T16:03:59.404Z","","DOI: 10.1055/s-2004-822784; DOI: 10.1055/s-2004-822784"
"1915","20","15","4530","Effect of electro-acupuncture stimulation of different frequencies and intensities on ovarian blood flow in anaesthetized rats with steroid-induced polycystic ovaries.","Stener-Victorin","2004","English","yes","No","EXCLUDE_ANIMAL","Effect of electro-acupuncture stimulation of different frequencies and intensities on ovarian blood flow in anaesthetized rats with steroid-induced polycystic ovaries..","Animal study.","high","animal_study","yes","not_applicable","not_applicable","EA","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:04:00.366Z","",""
"1916","20","16","4531","Complex rehabilitative treatment on the phantom limb pain after amputation","Wang","2004","English","yes","No","EXCLUDE_NON_SURGICAL","Complex rehabilitative treatment on the phantom limb pain after amputation.","Non-operative or non-surgical population.","high","primary_results","yes","unclear","unclear","ordinary TENS","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:04:01.065Z","",""
"1917","20","17","4533","Pain relief during oocyte retrieval with a new short duration electro-acupuncture technique - An alternative to conventional analgesic method","Humaidan","2004","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The operative setting and eligible electrical acupuncture intervention are described, but the anaesthetic technique is not stated.","General anaesthesia is the principal unresolved criterion.","moderate","primary_results","yes","unclear","yes","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:04:01.778Z","","DOI: 10.1093/humrep/deh229; DOI: 10.1093/humrep/deh229"
