"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"2201","23","1","2961","Effect of Percutaneous Electrical Acupoint Stimulation on the Improvement of Incidence of Adverse Respiratory Events in the Emergence Period from General Anesthesia After Tracheal Extubation: a Single-center Randomized Controlled Study","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:04.281Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2202","23","2","2962","Musculoskeletal ultrasound-guided needle knife therapy in the treatment of refractory nonspecific low back pain: A single-blind, randomized controlled trial","Li","2024","English","no","No","EXCLUDE_WRONG_INTERVENTION","No eligible perioperative EA/TEAS intervention.","No eligible perioperative EA/TEAS intervention.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:05.402Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2203","23","3","2965","Effectiveness of Intravenous Laser Therapy in Patients With Sciatica and Sleep Disorders at Binh Dinh Hospital of Traditional Medicine and Rehabilitation","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:06.508Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2204","23","4","2967","The Use of Acupuncture to Reduce Chemotherapy Induced Peripheral Neuropathy (CIPN) in Gynaecological Cancer Patients - A Pilot Randomised Controlled Trial","Unknown","unclear","English","no","No","EXCLUDE_NON_SURGICAL","Non-surgical condition or procedure; no eligible perioperative operative study.","Non-surgical condition or procedure; no eligible perioperative operative study.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:07.674Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2205","23","5","2968","The Research Was Planned As a Randomized Controlled Experimental Study to Evaluate the Effects of Foot Massage on Back Pain and Vital Signs in Patients Undergoing Coronary Angiography.","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:09.015Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2206","23","6","2969","Effect of Transcutaneous Electrical Nerve Stimulation Based on Wrist-ankle Acupuncture Theory on Postoperative Pain After Video-assisted Thoracoscopic Surgery","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:10.121Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2207","23","7","2970","Effect of Transcutaneous Electrical Nerve Stimulation Based on Wrist-ankle Acupuncture Theory on EC50 of Remifentanil Inhibiting Cardiovascular Response After Tracheal Intubation Under General Anesthesia","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:11.177Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2208","23","8","2972","Effect of electroacupuncture on neurological function in rats with cerebral ischemia-reperfusion injury based on AMPK/mTOR/ULK1 signaling pathway","Xu","2024","English","no","No","EXCLUDE_ANIMAL","Animal experiment; not an adult human perioperative surgical trial.","Animal experiment; not an adult human perioperative surgical trial.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:12.248Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2209","23","9","2974","Effects of VE, Focus, Expressive Touch on Pain, Anxiety, Breastfeeding and Mobilization in Women Delivering by Cesarean Section","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:13.383Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2210","23","10","2975","Role of Home-Based Transcutaneous Electrical Acustimulation for Treatment of Pain in Patients With Chronic Pancreatitis (TEA-CuP): A Double-Blind, Sham-Controlled Crossover Trial","Unknown","unclear","English","no","No","EXCLUDE_PROTOCOL","Trial registration or study protocol reports no primary participant results.","Trial registration or study protocol reports no primary participant results.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:51:14.520Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
