"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"1301","14","1","3189","Electroacupuncture Enhances Gastric Accommodation via the Autonomic and Cytokine Mechanisms in Functional Dyspepsia","Chen","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","high","primary_results","unclear","0","0","","no","unclear","acupuncture/other","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:49.945Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1302","14","2","3194","A Protocol for a Single-Centered, Pragmatic, Randomized, Controlled, Parallel Trial Comparing Comprehensive Nonsurgical Therapy Options for Individuals with Lumbar Spinal Stenosis","Sun","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","high","primary_results","unclear","0","0","","no","unclear","acupuncture/other","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:50.605Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1303","14","3","3199","Editorial: Postoperative care: from pain management to delirium","Zhang","2023","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","Editorial on postoperative care is not an original participant study.","Editorial on postoperative care is not an original participant study.","high","editorial","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:51.098Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1304","14","4","3200","RETRACTED: A Multicentre Randomized Controlled Clinical Study of Cross Electro-Nape-Acupuncture (CENA) for the Treatment of Pseudobulbar Palsy in Patients with Tracheotomy Intubation for Severe Cerebral Haemorrhage","Xu","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","high","primary_results","unclear","0","0","","no","unclear","acupuncture/other","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:51.635Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1305","14","5","3202","Effect of transcutaneous electrical acupoint stimulation on postoperative acute lung injury in pediatric patients undergoing living-related liver transplantation","Zhang","2023","English","yes","NO","EXCLUDE_PEDIATRIC_POPULATION","The study is limited to pediatric surgical patients, an explicitly excluded population.","The study is limited to pediatric surgical patients, an explicitly excluded population.","high","primary_results","unclear","0","0","","yes","unclear","EA/TEAS","not_applicable","not_applicable","not_applicable","yes","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:52.130Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1306","14","6","3204","Impact of Transcutaneous Electrical Acupoint Stimulation on BDNF Expression and IVF Outcomes in Patients with Infertility","Zhou","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","high","primary_results","unclear","0","0","","no","unclear","acupuncture/other","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:52.595Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1307","14","7","3209","Effect of electroacupuncture at different frequencies on brain insulin signaling transduction pathway in Alzheimer's disease mice","Huo","2023","English","yes","NO","EXCLUDE_ANIMAL","The study was conducted in mice or rats rather than human surgical patients.","The study was conducted in mice or rats rather than human surgical patients.","high","animal_study","yes","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:53.257Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1308","14","8","3210","Transcutaneous Electro Stimulation: Does it Help?","Tanaka","2023","English","yes","NO","EXCLUDE_NON_SURGICAL","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","The record concerns a non-surgical condition, healthy volunteers, rehabilitation, or an ineligible non-electrical intervention outside acute operative care.","high","primary_results","unclear","0","0","","no","unclear","acupuncture/other","not_applicable","not_applicable","not_applicable","no","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:53.701Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1309","14","9","3211","Electroacupuncture promotes gastrointestinal motility by activating autophagy of Cajal interstitial cells via downregulating PI3K/Akt/mTOR signaling pathway in stomach of diabetic gastro-paresis rats","Zhang","2022","English","yes","NO","EXCLUDE_ANIMAL","The study was conducted in mice or rats rather than human surgical patients.","The study was conducted in mice or rats rather than human surgical patients.","high","animal_study","yes","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:19:54.354Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1310","14","10","3212","Effect of electroacupuncture on hippocampal synaptic plasticity and complement dependent memory impairment in Parkinson's disease dementia mice","Guo","2022","English","yes","NO","EXCLUDE_ANIMAL","The study was conducted in mice or rats rather than human surgical patients.","The study was conducted in mice or rats rather than human surgical patients.","high","animal_study","yes","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:28.692Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1311","14","11","3226","The intubating laryngeal tube (iLTS-D) versus Ambu® Auragain™ as a conduit facilitating fiberoptic tracheal intubation in adult population: results from a prospective randomized controlled trial","Somri","2022","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","The study evaluates surgery, radiotherapy, or monitoring techniques without eligible electrical acupoint stimulation.","The study evaluates surgery, radiotherapy, or monitoring techniques without eligible electrical acupoint stimulation.","high","primary_results","yes","0","0","","unclear","unclear","none","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:29.230Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1312","14","12","3227","Effects of acupuncture to decrease adverse events in patients with high-risk non-muscle invasive bladder cancer receiving induction intravesical BCG therapy: Study protocol for a randomized, controlled pilot and feasibility study","Psutka","2022","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","Protocol provides planned methods without participant results and concerns an ineligible non-surgical setting or otherwise cannot meet primary-results eligibility.","Protocol provides planned methods without participant results and concerns an ineligible non-surgical setting or otherwise cannot meet primary-results eligibility.","high","protocol","no","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:29.864Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1313","14","13","3230","Effect of different electrical current intensities of electroacupuncture preconditioning on cardiac function and macrophage polarization in mice with acute myocardial ischemia","Yang","2022","English","yes","NO","EXCLUDE_ANIMAL","The study was conducted in mice or rats rather than human surgical patients.","The study was conducted in mice or rats rather than human surgical patients.","high","animal_study","yes","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:30.500Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1314","14","14","3231","Effect of electroacupuncture regulating NLRP3/Caspase-1 pathway on pyroptosis of dopaminergic neurons in rats with Parkinson's disease","Liu","2022","English","yes","NO","EXCLUDE_ANIMAL","The study was conducted in mice or rats rather than human surgical patients.","The study was conducted in mice or rats rather than human surgical patients.","high","animal_study","yes","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:31.040Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"1315","14","15","3232","Randomized Phase II Trial of Proton Craniospinal Irradiation Versus Photon Involved-Field Radiotherapy for Patients with Solid Tumor Leptomeningeal Metastasis","Yang","2022","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","The study evaluates surgery, radiotherapy, or monitoring techniques without eligible electrical acupoint stimulation.","The study evaluates surgery, radiotherapy, or monitoring techniques without eligible electrical acupoint stimulation.","high","primary_results","yes","0","0","","unclear","unclear","none","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:20:31.658Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
