"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"2001","21","1","4687","Effect of Licorice and Green Tea Gargle on PostExtubation Sore Throat, Cough and Hoarseness in Patients Undergoing Elective Surgery: A Randomized Controlled Trial.","Karimi","2022","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Effect of Licorice and Green Tea Gargle on PostExtubation Sore Throat, Cough and Hoarseness in Patients Undergoing Elective Surgery: A Randomized Controlled Trial..","Wrong intervention.","high","secondary_report","yes","unclear","yes","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","unclear","unclear","","unclear","no","no","yes","yes","2026-07-26T16:08:11.251Z","Recovered after Chrome reset by verifying the disabled No control in the Awaiting other reviewer queue.","DOI: 10.22038/EBCJ.2022.65067.2696; Recovery: registered during reset before append"
"2002","21","2","4824","Immediate effect of three different electroacupuncture protocols on fasting blood glucose in obese patients: a pilot study.","Belivani","2015","English","yes","No","EXCLUDE_NON_SURGICAL","Immediate effect of three different electroacupuncture protocols on fasting blood glucose in obese patients: a pilot study..","Non-operative or non-surgical population.","high","primary_results","no","unclear","unclear","EA","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T16:08:21.125Z","","DOI: 10.1136/acupmed-2014-010662; DOI: 10.1136/acupmed-2014-010662"
"2003","21","3","4827","Comparison of Thoracic Epidural and Intravenous Analgesia from the Perspective of Recovery of Respiratory Function in the Early Post-Thoracotomy Period in Lung Cancer Surgery.","Omaygenç","2021","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Comparison of Thoracic Epidural and Intravenous Analgesia from the Perspective of Recovery of Respiratory Function in the Early Post-Thoracotomy Period in Lung Cancer Surgery..","Wrong intervention.","high","secondary_report","yes","unclear","unclear","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","yes","Preoperative and third postoperative day spirometric measurements were recorded.","yes","no","no","yes","yes","2026-07-26T16:08:22.465Z","","DOI: 10.5152/TurkThoracJ.2021.19114; DOI: 10.5152/TurkThoracJ.2021.19114"
"2004","21","4","4832","Elbow hemiarthroplasty versus open reduction and internal fixation for AO/OTA type 13 C2 and C3 fractures of distal humerus in patients aged 50 years or above: a randomized controlled trial.","Al-Hamdani","2020","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The citation is classified as case series rather than an eligible randomized results report.","Ineligible publication type.","high","case_series","no","not_applicable","not_applicable","not eligible/unclear","unclear or active-only","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:08:23.657Z","","DOI: 10.1186/s13063-020-04418-8; DOI: 10.1186/s13063-020-04418-8"
"2005","21","5","4833","Effectiveness of concomitant use of green tea and polyethylene glycol in bowel preparation for colonoscopy: a randomized controlled study.","Hao","2020","English","yes","No","EXCLUDE_NON_SURGICAL","Effectiveness of concomitant use of green tea and polyethylene glycol in bowel preparation for colonoscopy: a randomized controlled study..","Non-operative or non-surgical population.","high","primary_results","yes","no","yes","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T16:08:24.908Z","","DOI: 10.1186/s12876-020-01220-3; DOI: 10.1186/s12876-020-01220-3"
"2006","21","6","4834","Investigation of single-dose thoracic paravertebral analgesia for postoperative pain control after thoracoscopic lobectomy - A randomized controlled trial.","Ding","2018","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Investigation of single-dose thoracic paravertebral analgesia for postoperative pain control after thoracoscopic lobectomy - A randomized controlled trial..","Wrong intervention.","high","primary_results","yes","no","yes","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","yes","Patients in the PVB-R group received a single-dose 0.5% ropivacaine paravertebral block (PVB), combined with patient-controlled intravenous analgesia (PCIA) after extubation during the 48-h postoperative period; those in the PVB-RD group received a single-dose 0.5% ropivacaine and dexmedetomidine (1 μg/kg) PVB, combined with the same PCIA scheme; and those in the TEA group received intraoperative thoracic epidural anesthesia with 0.5% ropivacaine, and a single dose of epidural morphine (0.03 mg/kg) after extubation combined with the same PCIA scheme.","yes","no","no","no","yes","2026-07-26T16:08:25.971Z","","DOI: 10.1016/j.ijsu.2018.07.006; DOI: 10.1016/j.ijsu.2018.07.006"
"2007","21","7","4836","Nutritional Status Among School-Age Children of Bangladeshi Tea Garden Workers.","Iqbal","2020","English","yes","No","EXCLUDE_POPULATION","Nutritional Status Among School-Age Children of Bangladeshi Tea Garden Workers..","Paediatric-only population.","high","primary_results","yes","unclear","unclear","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","yes","no","no","yes","2026-07-26T16:08:27.133Z","","DOI: 10.1177/0379572120965299; DOI: 10.1177/0379572120965299"
"2008","21","8","4839","Comparision of upper thoracic epidural analgesia versus low thoracic epidural analgesia in off-pump coronary artery bypass graft for perioperative pain management and fast tracking.","Asai","2020","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Comparision of upper thoracic epidural analgesia versus low thoracic epidural analgesia in off-pump coronary artery bypass graft for perioperative pain management and fast tracking..","Wrong intervention.","high","primary_results","yes","unclear","yes","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","yes","<b>Background: </b>Upper thoracic epidural analgesia (TEA) is compared with lower thoracic epidural analgesia for the perioperative pain management and fast tracking in patients undergoing off pump coronary artery bypass grafting (OPCAB) surgery for the intraoperative hemodynamic, quality of analgesia, incentive spirometry, time to awakening & extubation and intensive care unit (ICU) duration.<b>Materials and Methods: </b>A prospective, randomized comparative clinical study was conducted with total of 60 patients randomized to either Group U: Upper TEA (n = 30) or Group L: Lower TEA (n = 30).","yes","no","no","no","yes","2026-07-26T16:08:27.894Z","","DOI: 10.4103/aca.ACA_254_18; DOI: 10.4103/aca.ACA_254_18"
"2009","21","9","4841","Immunomodulatory Effect of Green Tea Treatment in Combination with Low-dose Chemotherapy in Elderly Acute Myeloid Leukemia Patients with Myelodysplasia-related Changes.","Calgarotto","2021","English","yes","No","EXCLUDE_NON_SURGICAL","Immunomodulatory Effect of Green Tea Treatment in Combination with Low-dose Chemotherapy in Elderly Acute Myeloid Leukemia Patients with Myelodysplasia-related Changes..","Non-operative or non-surgical population.","high","primary_results","no","unclear","unclear","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","no","yes","2026-07-26T16:08:28.934Z","","DOI: 10.1177/15347354211002647; DOI: 10.1177/15347354211002647"
"2010","21","10","4851","Non-Pharmacological Modalities for the Treatment of Fibromyalgia as an Alternative to Duloxetine. A Commentary On The Available Evidence.","Isaza","2021","English","yes","No","EXCLUDE_PUBLICATION_TYPE","The citation is classified as commentary rather than an eligible randomized results report.","Ineligible publication type.","high","commentary","no","not_applicable","not_applicable","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:08:30.184Z","",""
"2011","21","11","4852","Contrast-enhanced ultrasound for determining muscular perfusion after oral intake of L-citrulline, L-arginine, and galloylated epicatechines: A study protocol.","Doll","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a protocol/design report without participant results.","Protocol or registration without results.","high","protocol","no","not_applicable","not_applicable","not eligible/unclear","sham/usual-care/control","unclear","not_applicable","not_applicable","not_applicable","","not_applicable","not_applicable","no","no","yes","2026-07-26T16:08:33.713Z","","DOI: 10.1097/MD.0000000000022318; DOI: 10.1097/MD.0000000000022318"
"2012","21","12","4854","Reoperation Risk After Total Elbow Arthroplasty Versus Open Reduction Internal Fixation for Distal Humerus Fractures in Elderly Patients.","Goyal","2020","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Reoperation Risk After Total Elbow Arthroplasty Versus Open Reduction Internal Fixation for Distal Humerus Fractures in Elderly Patients..","Wrong intervention.","high","secondary_report","yes","unclear","yes","not eligible/unclear","unclear or active-only","unclear","not_applicable","unclear","unclear","","unclear","no","no","yes","yes","2026-07-26T16:08:35.101Z","","DOI: 10.1097/BOT.0000000000001767; DOI: 10.1097/BOT.0000000000001767"
